id,"city","zupanija","skupina"
1,"Kistanje","Šibensko-kninska","I."
2,"Donji Kukuruzari","Sisačko-moslavačka","I."
3,"Voćin","Virovitičko-podravska","I."
4,"Vrginmost","Sisačko-moslavačka","I."
5,"Gunja","Vukovarsko-srijemska","I."
6,"Zrinski Topolovac","Bjelovarsko-bilogorska","I."
7,"Vrbje","Brodsko-posavska","I."
8,"Okučani","Brodsko-posavska","I."
9,"Cetingrad","Karlovačka","I."
10,"Đulovac","Bjelovarsko-bilogorska","I."
11,"Biskupija","Šibensko-kninska","I."
12,"Vojnić","Karlovačka","I."
13,"Gornji Bogićevci","Brodsko-posavska","I."
14,"Dvor","Sisačko-moslavačka","I."
15,"Krnjak","Karlovačka","I."
16,"Levanjska Varoš","Osječko-baranjska","I."
17,"Plaški","Karlovačka","I."
18,"Sopje","Virovitičko-podravska","I."
19,"Drenovci","Vukovarsko-srijemska","I."
20,"Gradina","Virovitičko-podravska","I."
21,"Jagodnjak","Osječko-baranjska","I."
22,"Štefanje","Bjelovarsko-bilogorska","I."
23,"Babina Greda","Vukovarsko-srijemska","I."
24,"Štitar","Vukovarsko-srijemska","I."
25,"Mikleuš","Virovitičko-podravska","I."
26,"Drenje","Osječko-baranjska","I."
27,"Donji Lapac","Ličko-senjska","I."
28,"Sunja","Sisačko-moslavačka","I."
29,"Trnava","Osječko-baranjska","I."
30,"Podgorač","Osječko-baranjska","I."
31,"Nova Rača","Bjelovarsko-bilogorska","I."
32,"Vrhovine","Ličko-senjska","I."
33,"Markušica","Vukovarsko-srijemska","I."
34,"Hrvatska Dubica","Sisačko-moslavačka","I."
35,"Lokvičići","Splitsko-dalmatinska","I."
36,"Nova Bukovica","Virovitičko-podravska","I."
37,"Čađavica","Virovitičko-podravska","I."
38,"Kloštar Podravski","Koprivničko-križevačka","I."
39,"Staro Petrovo Selo","Brodsko-posavska","I."
40,"Gundinci","Brodsko-posavska","I."
41,"Špišić Bukovica","Virovitičko-podravska","I."
42,"Rovišće","Bjelovarsko-bilogorska","I."
43,"Šodolovci","Osječko-baranjska","I."
44,"Dežanovac","Bjelovarsko-bilogorska","I."
45,"Civljane","Šibensko-kninska","I."
46,"Podravska Moslavina","Osječko-baranjska","I."
47,"Kapela","Bjelovarsko-bilogorska","I."
48,"Stara Gradiška","Brodsko-posavska","II."
49,"Bošnjaci","Vukovarsko-srijemska","II."
50,"Viljevo","Osječko-baranjska","II."
51,"Bebrina","Brodsko-posavska","II."
52,"Sveti Petar Orehovec","Koprivničko-križevačka","II."
53,"Novo Virje","Koprivničko-križevačka","II."
54,"Proložac","Splitsko-dalmatinska","II."
55,"Velika Pisanica","Bjelovarsko-bilogorska","II."
56,"Orehovica","Međimurska","II."
57,"Saborsko","Karlovačka","II."
58,"Ivanska","Bjelovarsko-bilogorska","II."
59,"Gornja Rijeka","Koprivničko-križevačka","II."
60,"Ervenik","Šibensko-kninska","II."
61,"Majur","Sisačko-moslavačka","II."
62,"Cista Provo","Splitsko-dalmatinska","II."
63,"Suhopolje","Virovitičko-podravska","II."
64,"Trpinja","Vukovarsko-srijemska","II."
65,"Velika Trnovitica","Bjelovarsko-bilogorska","II."
66,"Vrbanja","Vukovarsko-srijemska","II."
67,"Slavonski Šamac","Brodsko-posavska","II."
68,"Donja Voća","Varaždinska","II."
69,"Lukač","Virovitičko-podravska","II."
