id,"sektor","naziv_sektora","podrucje","djelatnost","naziv_djelatnosti"
1,"A","Poljoprivreda, šumarstvo i ribarstvo","01","11"," Uzgoj žitarica (osim riže), mahunarki i uljanog sjemenja"
2,"A","Poljoprivreda, šumarstvo i ribarstvo","01","12"," Uzgoj riže"
3,"A","Poljoprivreda, šumarstvo i ribarstvo","01","13","Uzgoj povrća, dinja i lubenica, korjenastog i gomoljastog povrća"
4,"A","Poljoprivreda, šumarstvo i ribarstvo","01","14","Uzgoj šećerne trske"
5,"A","Poljoprivreda, šumarstvo i ribarstvo","01","15","Uzgoj duhana"
6,"A","Poljoprivreda, šumarstvo i ribarstvo","01","16","Uzgoj predivog bilja "
7,"A","Poljoprivreda, šumarstvo i ribarstvo","01","19","Uzgoj ostalih jednogodišnjih usjeva "
8,"A","Poljoprivreda, šumarstvo i ribarstvo","01","21","Uzgoj grožđa "
9,"A","Poljoprivreda, šumarstvo i ribarstvo","01","22","Uzgoj tropskog i suptropskog voća"
10,"A","Poljoprivreda, šumarstvo i ribarstvo","01","23","Uzgoj agruma"
11,"A","Poljoprivreda, šumarstvo i ribarstvo","01","24","Uzgoj jezgričavog i koštuničavog voća"
12,"A","Poljoprivreda, šumarstvo i ribarstvo","01","25","Uzgoj bobičastog, orašastog i ostalog voća "
13,"A","Poljoprivreda, šumarstvo i ribarstvo","01","26","Uzgoj uljanih plodova"
14,"A","Poljoprivreda, šumarstvo i ribarstvo","01","27","Uzgoj usjeva za pripremanje napitaka"
15,"A","Poljoprivreda, šumarstvo i ribarstvo","01","28","Uzgoj bilja za uporabu u farmaciji, aromatskog, začinskog i ljekovitog bilja "
16,"A","Poljoprivreda, šumarstvo i ribarstvo","01","29","Uzgoj ostalih višegodišnjih usjeva "
17,"A","Poljoprivreda, šumarstvo i ribarstvo","01","30","Uzgoj sadnog materijala i ukrasnog bilja"
18,"A","Poljoprivreda, šumarstvo i ribarstvo","01","41","Uzgoj muznih krava"
19,"A","Poljoprivreda, šumarstvo i ribarstvo","01","42","Uzgoj ostalih goveda i bivola"
20,"A","Poljoprivreda, šumarstvo i ribarstvo","01","43","Uzgoj konja, magaraca, mula i mazgi"
21,"A","Poljoprivreda, šumarstvo i ribarstvo","01","44","Uzgoj deva i ljama"
22,"A","Poljoprivreda, šumarstvo i ribarstvo","01","45","Uzgoj ovaca i koza"
23,"A","Poljoprivreda, šumarstvo i ribarstvo","01","46","Uzgoj svinja"
24,"A","Poljoprivreda, šumarstvo i ribarstvo","01","47","Uzgoj peradi"
25,"A","Poljoprivreda, šumarstvo i ribarstvo","01","49","Uzgoj ostalih životinja "
26,"A","Poljoprivreda, šumarstvo i ribarstvo","01","50","Mješovita proizvodnja"
27,"A","Poljoprivreda, šumarstvo i ribarstvo","01","61","Pomoćne djelatnosti za uzgoj usjeva"
28,"A","Poljoprivreda, šumarstvo i ribarstvo","01","62","Pomoćne djelatnosti za uzgoj životinja"
29,"A","Poljoprivreda, šumarstvo i ribarstvo","01","63","Djelatnosti koje se obavljaju nakon žetve usjeva (priprema usjeva za primarna tržišta)"
30,"A","Poljoprivreda, šumarstvo i ribarstvo","01","64","Dorada sjemena za sjemenski materijal"
31,"A","Poljoprivreda, šumarstvo i ribarstvo","01","70","Lov, stupičarenje i uslužne djelatnosti povezane s njima"
32,"A","Poljoprivreda, šumarstvo i ribarstvo","02","10","Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime"
33,"A","Poljoprivreda, šumarstvo i ribarstvo","02","20","Sječa drva "
34,"A","Poljoprivreda, šumarstvo i ribarstvo","02","30","Skupljanje šumskih plodova i proizvoda, osim šumskih sortimenata"
35,"A","Poljoprivreda, šumarstvo i ribarstvo","02","40","Pomoćne usluge u šumarstvu"
36,"A","Poljoprivreda, šumarstvo i ribarstvo","03","11","Morski ribolov"
37,"A","Poljoprivreda, šumarstvo i ribarstvo","03","12","Slatkovodni ribolov"
38,"A","Poljoprivreda, šumarstvo i ribarstvo","03","21","Morska akvakultura"
39,"A","Poljoprivreda, šumarstvo i ribarstvo","03","22","Slatkovodna akvakultura"
40,"B","Rudarstvo i vađenje","05","10","Vađenje kamenog ugljena"
41,"B","Rudarstvo i vađenje","05","20","Vađenje lignita"
42,"B","Rudarstvo i vađenje","06","10","Vađenje sirove nafte "
43,"B","Rudarstvo i vađenje","06","20","Vađenje prirodnog plina"
44,"B","Rudarstvo i vađenje","07","10","Vađenje željeznih ruda"
45,"B","Rudarstvo i vađenje","07","21","Vađenje uranovih i torijevih ruda"
46,"B","Rudarstvo i vađenje","07","29","Vađenje ostalih ruda obojenih metala"
47,"B","Rudarstvo i vađenje","08","11","Vađenje ukrasnoga kamena i kamena za gradnju, vapnenca, gipsa, krede i škriljevca"
48,"B","Rudarstvo i vađenje","08","12","Djelatnosti šljunčara i pješčara; vađenje gline i kaolina"
49,"B","Rudarstvo i vađenje","08","91","Vađenje minerala za kemikalije i gnojiva"
50,"B","Rudarstvo i vađenje","08","92","Vađenje treseta"
51,"B","Rudarstvo i vađenje","08","93","Vađenje soli"
52,"B","Rudarstvo i vađenje","08","99","Vađenje ostalih ruda i kamena, dn"
53,"B","Rudarstvo i vađenje","09","10","Pomoćne djelatnosti za vađenje nafte i prirodnog plina"
54,"B","Rudarstvo i vađenje","09","90","Pomoćne djelatnosti za ostalo rudarstvo i vađenje"
55,"C","Prerađivačka industrija","10","11","Prerada i konzerviranje mesa"
56,"C","Prerađivačka industrija","10","12","Prerada i konzerviranje mesa peradi"
57,"C","Prerađivačka industrija","10","13","Proizvodnja proizvoda od mesa i mesa peradi"
58,"C","Prerađivačka industrija","10","20","Prerada i konzerviranje riba, rakova i školjki "
59,"C","Prerađivačka industrija","10","31","Prerada i konzerviranje krumpira"
60,"C","Prerađivačka industrija","10","32","Proizvodnja sokova od voća i povrća"
61,"C","Prerađivačka industrija","10","39","Ostala prerada i konzerviranje voća i povrća "
62,"C","Prerađivačka industrija","10","41","Proizvodnja ulja i masti"
63,"C","Prerađivačka industrija","10","42","Proizvodnja margarina i sličnih jestivih masti"
64,"C","Prerađivačka industrija","10","51","Djelatnosti mljekara i proizvođača sira"
65,"C","Prerađivačka industrija","10","52","Proizvodnja sladoleda"
66,"C","Prerađivačka industrija","10","61","Proizvodnja mlinskih proizvoda"
67,"C","Prerađivačka industrija","10","62","Proizvodnja škroba i škrobnih proizvoda"
68,"C","Prerađivačka industrija","10","71","Proizvodnja kruha; proizvodnja svježih peciva, slastičarskih proizvoda i kolača"
69,"C","Prerađivačka industrija","10","72","Proizvodnja dvopeka, keksa i srodnih proizvoda; proizvodnja trajnih peciva, slastičarskih proizvoda i kolača"
70,"C","Prerađivačka industrija","10","73","Proizvodnja makarona, njoka, kuskusa i slične tjestenine"
